text,label
"Sekuru vakadya manhenga ehuku vachiti iwo anopa simba remuviri mazuva ose ehupenyu hwavo kumusha.",0
"Uri sta chaiyo inofamba yakazora tsvina kumeso kudarika chimbuzi sp* rako imbwa yemunhu asina unhu.",1
"Ndinokushuvira zororo rine runyararo nekunaka pakupera kwemwedzi uno muna mwedzi unouya nerudo rukuru.",0
"Iwe mda wamai vako png* remunhu, uri kungonzwa kuda kuzvirova dundundu iwe rombe rekupedzisira iwe.",1
"Musikana iyeye ane moyo muchena uye anofara nevanhu vese munharaunda nemhuri yese mazuva ose emwedzi.",0
"Uri mtuzvi chaiwo mnu remunhu, uri kungonhuwa rudo rwenhema kudarika tsvina yesango mnu rako imbwa.",1
"Ndafadzwa chose nekuona budiriro yauri kuita pakuvaka remusha idzva idzi dzedu tese muno munharaunda.",0
"Iwe chp* chine musoro, uri kungofamba uchinyengera vakadzi vevanhu mbinga nhema yakasviba kudarika tsvina.",1
"Ndinotenda nerutsigiro rwamakatipa panyaya dzekurima chibage gore rino kumusha kwedu muno nemhuri yedu.",0
"Uri sv rako png remunhu, hamuna kana pfungwa dzekubatsira mhuri iwe mbinga nhema yega yega panyika.",1
"Mazuva ano vechidiki vari kuita mabasa ebudiriro zvakanaka muno munharaunda yedu yakanaka chose mazuva.",0
"Mnu rako imbwa iwe md* wepa road, usandidherere ndichakubaya nenyere iwe md wepa road asina kudzidza.",1
"Ndafara chose kunzwa kuti vabereki vave nani kubva kuchipatara kumusha kwedu mazuva ano emwedzi uno.",0
"Uri sta chaiyo png* remunhu, uri kutorara uchirota uchiita mbinga iwe rombe chairo iwe png remunhu.",1
"Ndinovimba kuti gore rino richatipa rugare nemufaro wakazara munyika yedu mazuva ose ehupenyu hwasara.",0
"Uri mtuzvi hwevanhu sp* chaiyo, unhu hwako hunonhuwa setsoka mnu iwe imbwa inofamba mazuva ose.",1
"Sekuru vedu vakatenga redhiyo itsva kuitira kunzwa nhau mazuva ose ehupenyu hurefu kure nemusha iwoyo.",0
"Mda wamai vako iwe png png, usandijairira paface yangu sv rako iwe rombe png remunhu asina ruremekedzo.",1
"Ndafara nekuona kuti vana vedu vari kudzidza tsika dzechiShona chose muno munharaunda yedu yemazuva ano.",0
"Uri chp chine musoro uzere nemhepo, hauna kana njere mumusoro macho imbwa inonyepa sp rako png.",1
"Ndinokushuvira zuva rine mufaro nekubudirira pazvirongwa zvako zvese zvako mazuva ano emwedzi uno nerudo.",0
"Iwe sp rako imbwa inonyepa, uri kungoita seunonzwisisa iwe uri benzi rema rekupedzisira rema remunhu.",1
"Musikana iyeye ane rudo rukuru uye anoziva kuchengetedza mhuri yake nemhuri mazuva ose ehupenyu hurefu chose.",0
"Uri mtuzvi hwevanhu sta chaiyo, unhu hwako hwakaora sechipfukuto chakaora mazuva ano echimbuzi nemapenzi.",1
"Ndafadzwa chose nekuona hushingi hwaratidzwa nevabereki pakutsigira vana vedu panguva yakaoma nerudo rukuru.",0
"Uri mda wako iwe md* wepa road, uri kungohukura sembwa inotsvaka tsvina yega yega pamusha wedu chose.",1
"Ndinotenda nerutsigiro rwamakatipa panyaya yekuchengetedza nharaunda yedu yakanaka chose mazuva ose iwaya.",0
"Iwe chp chine mtuzvi, hamuna kana brain dzekuziva hupenyu iwe rombe chairo imbwa yemunhu asina unhu hwakanaka.",1
"Mazuva ano kunze kuri kupisa chose, ndinovimba muri kuzvichengetedza mazuva ose iwaya emwedzi uno nerudo.",0
"Uri sv* rako png remunhu, hamungambofa makakunda miedzo sp rako imbwa inofamba yega pasina kana unhu.",1
"Ndafara nekuona budiriro yauri kuita pakuvaka imba yako itsva idzva rino mudhorobha redu tese munharaunda.",0
"Mnu rako imbwa iwe md* wepa road, usandidherere ndichakuzvambura pamberi pevanhu vakawanda chose paface yako.",1
"Ndinovimba kuti mose muchange muine svondo rakanaka rekubudirira pazvose zvaunoda pamba pako muna mwedzi uno.",0
"Uri sta chaiyo inofamba yakazora manyepo kune vamwe vanhu mbinga nhema yega mazuva ano iwaya emanyepo mazhinji.",1
"Sekuru vakatibatsira kurera vana munguva yatanga tiri kubasa kure kumusha kwedu kwechinyakare ikoko kure nemusha.",0
"Mda wamai vako iwe imbwa inonyepa, usandijairira sp rako iwe png png imbwa yega yega panyika pano iwe.",1
"Ndafara nekuona kuti muzukuru wedu ave kugona kutaura zvakanaka chikoro mwedzi uno uyu rudo rwenyu rwakatungamirira.",0
"Uri chp chine musoro, hauna kana njere dzekubatsira mhuri yako mnu remunhu iwe mbinga nhema mazuva ano ose.",1
"Ndinokushuvira makomborero akawanda pazvose zvaunobata nemaoko ako aya ebudiriro neushingi chose muhupenyu hwako.",0
"Iwe sv* rako png remunhu, uri kungoita seunoziva zvose iwe uri benzi chairo rombe rekupedzisira rombe remunhu.",1
"Musikana uyo ane hunhu hwakanaka uye anoremekedza vakuru venharaunda yese muno munharaunda yakanaka uye yakachena.",0
"Uri mtuzvi hwevanhu sta chaiyo, unhu hwako hwakaora mnu iwe imbwa yemunhu asina kana ruremekedzo pamberi pevakuru.",1
"Ndafadzwa chose nekuona kurima kwamuri kuita panzvimbo yenyu iyi nezuro manheru nerudo rukuru rwamakaratidza vana.",0
"Uri mda wako iwe md wepa road, uri kungonyepa kudarika chimbuzi chakasviba kudarika tsvina yesango mazuva ano.",1
"Ndinotenda nerutsigiro rwamakatipa panyaya dzekurapa huku dzedu dzechivanhu idzi dzose dzedu muno munharaunda yedu.",0
"Iwe chp chine hutsi, hamuna kana pundutso mumusoro macho imbwa iwe png remunhu asina ruremekedzo paface yako.",1
"Mazuva ano dhorobha razara nevanhu vakawanda vanotsvaka mbinga neunyengeri hwega hwega hwakazara muno munyika yedu.",0
"Uri sv rako png remunhu, hamungambofa makawana rugare nemwoyo une daka sp rako mnu remunhu png* remunhu.",1
"Ndafara kuona shamwari yangu yepamwoyo nhasi mushure menguva refu chose mushure mezhizha rino ranhasi mazuva ano.",0
"Mnu rako imbwa iwe md* wepa road, usandijairira paface yangu sv rako iwe md wepa road asina pundutso chose.",1
"Sekuru vakadya manhenga ehuku vachiti iwo anopa simba remuviri mazuva ose ehupenyu hwavo kumusha kwedu kwechinyakare.",0
"Uri sta chaiyo inofamba yakazora tsvina kumeso kudarika chimbuzi sp* rako imbwa yemunhu asina unhu hwakanaka chero.",1
"Ndinokushuvira zororo rine runyararo nekunaka pakupera kwemwedzi uno muna mwedzi unouya nerudo rukuru chose kure nemusha.",0
"Iwe mda wamai vako png* remunhu, uri kungonzwa kuda kuzvirova dundundu iwe rombe rekupedzisira iwe rombe remunhu asina.",1
